,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20,Target
2019-01-01,498.4905700683594,501.2921171732352,493.64353558398005,500.380511591524,9746670,,,498.4905700683594,,,,,0
2019-01-02,491.9982604980469,501.1587544539115,489.5969469449025,495.6001863012743,15628818,,,497.8722548711868,,,,,1
2019-01-03,485.9283447265625,495.6446781722928,484.7499362934948,492.4874234151383,16288287,,,496.7347396193178,,,,,1
2019-01-04,488.5519104003906,491.13109227912537,480.74772345630646,487.9960714293212,18516544,,,495.95542255084854,,,,,0
2019-01-07,491.2645568847656,497.3567308980273,489.59698038820073,492.2650968458389,12060290,,,495.50867343979303,,,,,0
2019-01-08,491.2200317382813,493.5768483693272,487.3735072802789,491.4201337699942,12304389,,,495.10023137298236,,,,,1
2019-01-09,493.9326171875,496.7119013047195,488.5741806820127,494.4884858846745,12614237,,,494.98903002198404,,,,,1
2019-01-10,492.4873962402344,494.0438048137975,490.486316465268,492.5985640405852,8925160,,,494.7507791856269,,,,,1
2019-01-11,488.28515625,495.2889357722093,484.0828944735399,492.53188514856754,14139060,,,494.1350055727101,,,,,1
2019-01-14,487.729248046875,489.3745610158149,483.1045195820128,486.9288102781438,8994060,,,493.52493342739245,,,,,1
2019-01-15,502.3371887207031,503.3821957876693,491.3757164560614,491.3757164560614,22011407,,,494.3641958362792,,,,,1
2019-01-16,505.1163940429688,509.1630203107688,502.6483800675471,504.7161306328441,13961606,,,495.3882147131068,,,,,1
2019-01-17,504.47161865234375,510.45259446398273,502.49274284207854,508.9184492037804,16379077,,,496.25330080255793,,,,,1
2019-01-18,526.6613159179688,529.1293300822731,504.8273667420513,510.8528098048495,56181172,,,499.1493022421208,70.99770483077393,,,,1
2019-01-21,550.3851928710938,551.3857327105305,528.5734481188317,530.9525279850722,48206814,,,504.02891087345154,78.57494541215044,,,,0
2019-01-22,549.2512817382812,554.4985800560028,542.3364367197829,548.2285379681914,36207430,,,508.33580333676866,83.50245277055033,,,,0
2019-01-23,545.3158569335938,553.275709031057,543.4037113706246,548.4286147581106,19313542,,,511.85771320313296,85.64183546084327,,,,0
2019-01-24,554.7208251953125,557.2777732565327,542.5587432111155,544.7376911259244,28775487,,,515.9399143452453,86.72259172505602,,,,0
2019-01-25,554.0761108398438,562.3916998081567,549.3624773520974,556.0549867456017,18703992,,,519.5719330590165,85.6782495372526,,,,1
2019-01-28,546.7611083984375,558.5007853675066,543.5816199737301,556.0772380521597,18744303,512.4492492675781,,522.1613783294375,79.14150901704386,566.1848544301124,458.7136441050439,20385117.25,1
2019-01-29,538.3565673828125,547.6949599864604,534.2210062373374,547.405894004788,20405845,514.4425491333008,,523.7037772869019,71.99479262990319,568.9500609578989,459.93503730870253,20918076.0,1
2019-01-30,531.70849609375,544.7377779138919,529.6629491926045,540.2909471494282,17164298,516.4280609130859,,524.4661314589827,68.46736863523066,570.3834005478958,462.47272127827597,20994850.0,1
2019-01-31,545.6937866210938,546.8277277392239,534.0653095076366,534.5099806581494,22279301,519.4163330078125,,526.4878129029933,74.75079035022762,572.8770974071696,465.9555686084553,21294400.7,1
2019-02-01,555.8325805664062,558.0782591486003,545.6493727513893,548.7399266020019,20187323,522.7803665161133,,529.2825526804612,77.120654042826,576.5301756080373,469.0305574241893,21377939.65,1
2019-02-04,574.04248046875,576.7328304815715,552.3196673642985,554.52081965213,25528059,526.9192626953125,,533.5454029460125,77.7587125539458,583.1423114082957,470.69621398232925,22051328.1,0
2019-02-05,574.3314208984375,580.0456533746585,568.572780672687,574.5315526145657,20479210,531.0748321533204,,537.4297856081482,77.32145343842195,588.4617933267344,473.6878709799062,22460069.15,0
2019-02-06,582.64697265625,585.9376579308329,575.5320560913038,576.42139839868,20586783,535.5105499267578,,541.7361843746341,79.09636734128273,594.5014152956121,476.5196845579035,22858696.45,0
2019-02-07,573.820068359375,587.5162967228948,571.9079229435836,582.6469989486654,20150710,539.5771835327148,,544.7917923731809,69.49097130321901,597.279701415008,481.8746656504216,23419973.95,0
