,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-01-11,0,0,0.40679696,1153.1790771484375,100000.0,0.0,100000.0,99900.09990009993,100000.0
2023-01-12,1,0,0.29772618,1128.2769775390625,100000.0,0.0,100000.0,97742.82676880933,100000.0
2023-01-13,0,0,0.35946667,1126.451171875,100000.0,0.0,100000.0,97584.65691310137,100000.0
2023-01-16,0,0,0.4109349,1115.723388671875,100000.0,0.0,100000.0,96655.3072267119,100000.0
2023-01-17,0,0,0.38685375,1131.56396484375,100000.0,0.0,100000.0,98027.57903896032,100000.0
2023-01-18,0,0,0.34319264,1129.692138671875,100000.0,0.0,100000.0,97865.42241882086,100000.0
2023-01-19,0,0,0.34570706,1128.4825439453125,100000.0,0.0,100000.0,97760.63502160148,100000.0
2023-01-20,0,0,0.4256081,1115.0615234375,100000.0,0.0,100000.0,96597.96972870771,100000.0
2023-01-23,0,0,0.4215914,1109.4237060546875,100000.0,0.0,100000.0,96109.5646484194,100000.0
2023-01-24,0,0,0.38504598,1102.873046875,100000.0,0.0,100000.0,95542.07992776309,100000.0
2023-01-25,0,1,0.6449895,1087.6259765625,0.0,99900.09990009991,99900.09990009991,94221.2236292174,99900.09990009991
2023-01-27,0,1,0.74494654,1066.992431640625,0.0,98004.8774215937,98004.8774215937,92433.73611766314,98004.8774215937
2023-01-30,0,1,0.7210746,1077.218017578125,0.0,98944.11304000173,98944.11304000173,93319.58036938104,98944.11304000173
2023-01-31,0,1,0.684755,1074.5244140625,0.0,98696.70146092867,98696.70146092867,93086.23303796085,98696.70146092867
2023-02-01,1,1,0.6950966,1068.1563720703125,0.0,98111.78712006472,98111.78712006472,92534.56847536692,98111.78712006472
2023-02-02,1,1,0.70583767,1062.2447509765625,0.0,97568.79573280153,97568.79573280153,92022.44373295699,97568.79573280153
2023-02-03,1,1,0.73162776,1063.1806640625,0.0,97654.76077298792,97654.76077298792,92103.52204302672,97654.76077298792
2023-02-06,1,1,0.7308551,1055.169189453125,0.0,96918.89464706731,96918.89464706731,91409.48663284328,96918.89464706731
